id,name,wiki
mercury_en,Mercury,https://en.wikipedia.org/wiki/Mercury
mercury_ja,水星,https://ja.wikipedia.org/wiki/%E6%B0%B4%E6%98%9F
venus_en,Venus,https://en.wikipedia.org/wiki/Venus
venus_ja,金星,https://ja.wikipedia.org/wiki/%E9%87%91%E6%98%9F
earth_en,Earth,https://en.wikipedia.org/wiki/Earth
earth_ja,地球,https://ja.wikipedia.org/wiki/%E5%9C%B0%E7%90%83
mars_en,Mars,https://en.wikipedia.org/wiki/Mars
mars_ja,火星,https://ja.wikipedia.org/wiki/%E7%81%AB%E6%98%9F
jupiter_en,Jupiter,https://en.wikipedia.org/wiki/Jupiter
jupiter_ja,木星,https://ja.wikipedia.org/wiki/%E6%9C%A8%E6%98%9F
saturn_en,Saturn,https://en.wikipedia.org/wiki/Saturn
saturn_ja,土星,https://ja.wikipedia.org/wiki/%E5%9C%9F%E6%98%9F
uranus_en,Uranus,https://en.wikipedia.org/wiki/Uranus
uranus_ja,天王星,https://ja.wikipedia.org/wiki/%E5%A4%A9%E7%8E%8B%E6%98%9F
neptune_en,Neptune,https://en.wikipedia.org/wiki/Neptune
neptune_ja,海王星,https://ja.wikipedia.org/wiki/%E6%B5%B7%E7%8E%8B%E6%98%9F
pluto_en,Pluto,https://en.wikipedia.org/wiki/Pluto
pluto_ja,冥王星,https://ja.wikipedia.org/wiki/%E5%86%A5%E7%8E%8B%E6%98%9F
